Territorialidade,Posição IDHM no Brasil,IDHM,Posição IDHM Renda,IDHM Renda,Posição IDHM Educação,IDHM Educação,Posição IDHM Longevidade,IDHM Longevidade,
Florianópolis (SC),3,0.848,5,0.870,5,0.800,147,0.873,
Balneário Camboriú (SC),4,0.846,10,0.854,6,0.789,1,0.894,
Joaçaba (SC),8,0.828,31,0.823,15,0.771,7,0.891,
Curitiba (PR),10,0.824,11,0.850,17,0.768,551,0.855,
São José (SC),21,0.810,57,0.799,42,0.752,83,0.880,
Joinville (SC),21,0.811,64,0.795,53,0.749,15,0.889,
Maringá (PR),23,0.809,44,0.806,17,0.768,643,0.852,
Rio Fortuna (SC),25,0.808,13,0.848,135,0.727,722,0.850,
Blumenau (SC),25,0.809,37,0.812,162,0.722,1,0.894,
Porto Alegre (RS),28,0.805,6,0.867,331,0.702,501,0.857,
Jaraguá do Sul (SC),34,0.804,70,0.793,36,0.755,303,0.865,
Rio do Sul (SC),36,0.805,70,0.793,135,0.727,1,0.894,
São Miguel do Oeste (SC),37,0.803,93,0.787,82,0.739,55,0.884,
Concórdia (SC),40,0.802,151,0.777,35,0.756,169,0.872,
Tubarão (SC),53,0.798,87,0.788,75,0.740,276,0.866,
Itapema (SC),53,0.799,87,0.788,135,0.727,77,0.881,
Carlos Barbosa (RS),53,0.796,23,0.835,151,0.724,1419,0.835,
Treze Tílias (SC),56,0.799,21,0.838,527,0.685,135,0.874,
Brusque (SC),56,0.798,66,0.794,269,0.707,1,0.894,
Itajaí (SC),56,0.797,141,0.778,122,0.730,55,0.884,
Iomerê (SC),56,0.798,349,0.754,53,0.749,7,0.891,
Quatro Pontes (PR),62,0.792,78,0.790,59,0.748,1281,0.838,
Ipiranga do Sul (RS),62,0.791,34,0.818,374,0.698,276,0.866,
Três Arroios (RS),62,0.791,15,0.843,483,0.689,702,0.851,
Chapecó (SC),67,0.792,137,0.779,135,0.727,181,0.871,
Luzerna (SC),71,0.792,125,0.781,179,0.718,110,0.877,
Lagoa dos Três Cantos (RS),71,0.789,232,0.765,39,0.754,643,0.852,
Criciúma (SC),76,0.790,97,0.786,97,0.737,901,0.846,
Porto União (SC),87,0.789,375,0.752,151,0.724,7,0.891,
Garibaldi (RS),87,0.786,28,0.825,495,0.688,527,0.856,
Nova Araçá (RS),92,0.785,61,0.796,162,0.722,1032,0.843,
Casca (RS),92,0.785,141,0.778,107,0.733,846,0.847,
Timbó (SC),100,0.787,41,0.807,389,0.697,527,0.856,
Salto Veloso (SC),100,0.788,141,0.778,293,0.705,83,0.880,
Santa Maria (RS),100,0.784,64,0.795,205,0.715,792,0.848,
Ivoti (RS),100,0.784,132,0.78,125,0.729,792,0.848,
Pinhalzinho (SC),110,0.787,303,0.758,193,0.716,22,0.886,
Horizontina (RS),110,0.783,116,0.782,193,0.716,473,0.858,
Pato Branco (PR),113,0.784,141,0.778,127,0.728,943,0.845,
Cascavel (PR),113,0.783,155,0.776,127,0.728,901,0.846,
São Bento do Sul (SC),113,0.784,252,0.763,172,0.719,181,0.871,
Caxias do Sul (RS),113,0.782,37,0.812,516,0.686,425,0.86,
Lacerdópolis (SC),119,0.785,252,0.763,257,0.708,64,0.883,
Maravilha (SC),119,0.784,303,0.758,257,0.708,22,0.886,
Bombinhas (SC),119,0.783,360,0.753,114,0.732,319,0.864,
Santo Amaro da Imperatriz (SC),119,0.784,360,0.753,239,0.710,11,0.890,
Ijuí (RS),119,0.781,97,0.786,269,0.707,473,0.858,
Pomerode (SC),128,0.784,132,0.780,505,0.687,22,0.886,
Corupá (SC),128,0.783,202,0.768,269,0.707,147,0.873,
Braço do Trombudo (SC),128,0.784,223,0.766,331,0.702,64,0.883,
Cocal do Sul (SC),128,0.782,478,0.747,75,0.740,451,0.859,
Nova Petrópolis (RS),128,0.78,162,0.775,495,0.688,11,0.89,
Vista Alegre do Prata (RS),128,0.78,39,0.809,450,0.692,846,0.847,
Seara (SC),141,0.783,48,0.804,668,0.674,169,0.872,
Londrina (PR),145,0.779,83,0.789,223,0.712,1315,0.837,
Braço do Norte (SC),145,0.781,494,0.746,193,0.716,77,0.881,
Bento Gonçalves (RS),145,0.778,46,0.805,416,0.695,1075,0.842,
Nova Bréscia (RS),145,0.778,22,0.836,768,0.666,846,0.847,
Lajeado (RS),145,0.778,61,0.796,305,0.704,1183,0.84,
Indaial (SC),157,0.780,213,0.767,344,0.701,147,0.873,
Pinheiro Preto (SC),157,0.780,266,0.762,223,0.712,276,0.866,
Mafra (SC),157,0.780,639,0.738,155,0.723,83,0.880,
Farroupilha (RS),157,0.777,112,0.783,404,0.696,390,0.861,
Victor Graeff (RS),157,0.777,166,0.774,162,0.722,1183,0.84,
Selbach (RS),157,0.777,105,0.785,239,0.71,1128,0.841,
Sarandi (RS),157,0.777,155,0.776,293,0.705,473,0.858,
Passo Fundo (RS),168,0.776,93,0.787,364,0.699,759,0.849,
Erechim (RS),168,0.776,116,0.782,193,0.716,1515,0.833,
Itapiranga (SC),178,0.777,223,0.766,155,0.723,1075,0.842,
Xanxerê (SC),178,0.777,291,0.760,232,0.711,390,0.861,
Trombudo Central (SC),178,0.779,291,0.760,404,0.696,83,0.880,
Marechal Cândido Rondon (PR),185,0.776,116,0.782,305,0.704,1075,0.842,
Francisco Beltrão (PR),185,0.776,303,0.758,142,0.726,986,0.844,
Ouro (SC),185,0.778,166,0.774,620,0.677,55,0.884,
Siderópolis (SC),185,0.777,398,0.751,344,0.701,83,0.880,
Massaranduba (SC),185,0.777,435,0.749,212,0.714,257,0.867,
Treviso (SC),185,0.778,665,0.737,212,0.714,70,0.882,
Marau (RS),185,0.774,175,0.773,364,0.699,501,0.857,
Serra Alta (SC),197,0.777,303,0.758,431,0.694,94,0.879,
Veranópolis (RS),197,0.773,59,0.797,450,0.692,1281,0.838,
Paraí (RS),197,0.773,93,0.787,593,0.679,276,0.866,
Santa Cruz do Sul (RS),197,0.773,116,0.782,442,0.693,643,0.852,
Urussanga (SC),210,0.776,321,0.756,416,0.695,118,0.876,
Aratiba (RS),210,0.772,50,0.801,719,0.67,527,0.856,
Santo Ângelo (RS),210,0.772,232,0.765,404,0.696,343,0.863,
Lajeado Grande (SC),220,0.773,415,0.750,223,0.712,473,0.858,
Itá (SC),220,0.775,478,0.747,374,0.698,94,0.879,
Presidente Castello Branco (SC),227,0.778,36,0.813,1248,0.637,64,0.883,
Lages (SC),227,0.773,335,0.755,389,0.697,257,0.867,
Armazém (SC),227,0.774,548,0.743,374,0.698,70,0.882,
São Carlos (SC),238,0.773,252,0.763,495,0.688,257,0.867,
Schroeder (SC),238,0.772,415,0.750,239,0.710,551,0.855,
Santa Rosa (RS),238,0.769,375,0.752,442,0.693,181,0.871,
Arroio do Meio (RS),238,0.769,415,0.75,282,0.706,425,0.86,
